Name,hs,dhw,hs_and_dhw,cs,el
B1000,28.965999999999998,1.8230000000000002,29.872999999999998,26.193,14.552999999999999
B1001,35.514,0.0,35.514,47.218999999999994,7.6770000000000005
B1002,368.94800000000004,9.248,372.232,738.867,271.365
B1003,67.623,14.062999999999999,77.91799999999999,94.85799999999999,32.253
B1004,96.38600000000001,20.264,112.47500000000001,127.31299999999999,46.79600000000001
B1005,78.092,16.090999999999998,90.928,102.094,37.676
B1006,73.312,15.003,84.996,101.74600000000001,34.080999999999996
B1007,46.309,9.698,54.144,61.827,22.366999999999997
B1008,95.525,19.863,111.629,126.84899999999999,45.885
B1009,418.34,11.337,421.52799999999996,783.38,183.197
B1010,598.502,39.416,615.0260000000001,976.554,195.665
B1011,361.075,13.617,366.274,645.288,135.236
B1012,46.285,9.588,54.059,62.58,22.087
B1013,40.779,9.426,48.138000000000005,57.078,21.516
B1014,34.131,7.541,40.162,43.37,17.635
B1015,34.762,7.566,40.878,43.792,17.795
B1016,37.669000000000004,8.353,44.314,49.272,19.547
B1017,34.398,7.347,40.343,43.836000000000006,17.067
B1018,37.301,8.343,44.054,50.69,19.442999999999998
B1019,37.074,7.779,43.00899999999999,50.248999999999995,18.666
B1020,34.067,7.191,39.663000000000004,41.647,17.062
B1021,33.091,6.745,38.563,42.82899999999999,15.165
B1022,331.70300000000003,66.118,378.374,476.145,151.054
B1023,723.3760000000001,18.892,731.378,497.533,219.0
B1024,630.77,10.923,635.5939999999999,301.539,125.90700000000001
B1025,748.747,13.672,754.678,389.504,161.775
B1026,489.659,7.629,492.315,317.678,142.92600000000002
B1027,162.72299999999998,13.078,164.873,120.306,44.926
B1028,551.592,43.082,560.427,1986.2579999999998,419.031
B1029,784.8430000000001,55.033,795.912,2552.071,542.627
