,hs,dhw,cs,el
0,0,22.083,0,346.461
1,0,23.832,0,346.462
2,0,17.512,0,346.458
3,0,18.092,0,346.453
4,0,18.113,0,346.453
5,0,27.492,0,394.077
6,452.223,68.97,0,697.488
7,728.701,145.172,0,642.423
8,759.454,253.903,0,607.372
9,696.731,257.795,0,608.699
10,630.717,239.284,0,609.269
11,580.106,288.473,0,608.204
12,140.319,298.681,0,970.146
13,437.88,253.731,0,676.461
14,492.069,171.729,0,602.106
15,504.731,147.329,0,600.802
16,512.026,176.792,0,596.657
17,427.312,225.285,0,640.003
18,124.381,282.878,0,933.6
19,43.515,228.825,0,1032.063
20,406.82,164.775,0,423.727
21,0,186.107,0,425.243
22,0,105.148,0,435.723
23,0,61.712,0,358.348
24,0,27.761,0,346.465
25,0,21.851,0,346.461
26,0,18.388,0,346.458
27,0,17.386,0,346.453
28,0,17.405,0,346.453
29,0,18.404,0,393.142
30,494.145,47.051,0,686.647
31,766.587,109.719,0,398.681
32,788.339,172.489,0,351.229
33,712.037,225.892,0,351.256
34,630.394,246.091,0,351.267
35,554.627,251.193,0,351.268
36,107.685,195.123,0,687.028
37,390.491,192.436,0,401.975
38,453.162,162.395,0,351.226
39,476.598,146.674,0,351.218
40,493.718,91.287,0,351.189
41,418.333,140.604,0,398.149
42,113.027,188.102,0,683.678
43,37.27,201.7,0,772.637
44,425.515,116.042,0,397.531
45,0,100.304,0,392.673
46,0,93.598,0,392.925
47,0,44.93,0,346.471
48,0,22.748,0,346.461
49,0,16.184,0,346.456
50,0,25.083,0,346.451
51,0,25.149,0,346.451
52,0,17.215,0,346.453
53,0,92.452,0,395.038
54,686.14,240.646,0,693.241
55,6678.12,263.891,0,908.602
56,5902.331,287.866,0,1410.819
57,5064.98,316.302,0,1726.797
58,4114.275,301.725,0,2029.485
59,3606.3,273.675,0,1723.197
60,3011.973,254.029,0,1382.698
61,2767.992,277.091,0,1488.605
62,2242.983,262.636,0,2023.218
63,2243.978,223.457,0,1716.546
64,2370.404,203.488,0,1488.562
65,2439.727,200.663,0,911.144
66,226.618,222.689,0,943.426
67,141.268,222.049,0,1040.823
68,531.644,182.403,0,425.869
69,0,150.175,0,425.633
70,0,77.253,0,435.32
71,0,55.185,0,358.059
72,0,22.829,0,346.461
73,0,16.268,0,346.456
74,0,25.279,0,346.451
75,0,25.321,0,346.451
76,0,17.303,0,346.453
77,0,92.535,0,394.213
78,797.456,240.784,0,683.289
