Name,hs,dhw,hs_and_dhw,cs,el
B1000,0,10,10,10,24.55
B1001,0,1,20,65.244,10.142
B1002,0,6.755,6.755,889.062,289.031
B1003,0,20.311,20.311,135.027,40.43
B1004,0,29.484,29.484,187.232,57.846
B1005,0,23.34,23.34,154.462,47.217
B1006,0,21.661,21.661,142.48,42.98
B1007,0,13.809,13.809,96.967,28.5
B1008,0,28.967,28.967,190.875,58.502
B1009,0,3.418,3.418,808.769,315.929
B1010,0,22.835,22.835,980.469,353.295
B1011,0,10,10,10,235.132
B1012,0,13.666,13.666,88.103,26.789
B1013,0,13.324,13.324,87.498,26.387
B1014,0,10.509,10.509,69.916,21.076
B1015,0,10.695,10.695,72.049,20.969
B1016,0,11.709,11.709,77.31,23.679
B1017,0,10.31,10.31,73.199,21.474
B1018,0,11.702,11.702,77.448,23.414
B1019,0,11.073,11.073,76.502,22.425
B1020,0,10.145,10.145,69.249,20.149
B1021,0,9.321,9.321,59.527,17.687
B1022,0,98.324,98.324,749.219,210.667
B1023,0,1,1,867.727,391.437
B1024,0,1,1,554.258,229.576
B1025,0,1,1,724.855,292.97
B1026,0,1,1,674.085,175.36
B1027,0,6.473,6.473,392.559,64.843
B1028,0,22.892,22.892,2128.789,518.022
B1029,0,29.056,29.056,2750.962,676.343
