,hs,dhw,cs,el
0,0,24.877,1203.926,1123.307
1,0,21.585,1270.659,1082.243
2,0,21.588,1185.148,1076.483
3,0,40.764,1155.706,1074.719
4,0,39.367,1132.92,1072.608
5,0,45.182,1082.547,1070.976
6,0,367.165,6133.806,1642.27
7,0,331.626,4031.156,1828.908
8,0,254.487,4567.668,2164.099
9,0,249.275,4835.931,2244.196
10,0,180.767,5206.963,2374.438
11,0,191.232,5707.339,2425.218
12,0,185.744,5080.572,2076.723
13,0,182.321,5000.693,2054.642
14,0,276.944,4955.918,2045.57
15,0,313.754,4847.868,2027.426
16,0,358.769,4796.482,2050.189
17,0,347.33,4605.903,1980.609
18,0,224.349,1538.949,1664.935
19,0,157.823,1430.846,1559.688
20,0,132.857,1345.618,1472.007
21,0,139.308,1340.787,1418.859
22,0,58.146,1333.831,1282.076
23,0,52.973,1236.873,1170.72
24,0,36.645,1155.601,1133.101
25,0,34.108,1039.212,1074.845
26,0,34.078,1115.992,1076.184
27,0,45.964,1089.085,1075.005
28,0,44.54,1006.245,1071.245
29,0,56.262,1005.61,1069.46
30,0,368.161,5927.704,1403.302
31,0,326.671,3708.628,1586.046
32,0,239.959,3868.16,1694.727
33,0,198.643,3966.506,1792.217
34,0,167.726,4459.06,1923.478
35,0,176.457,4655.982,1951.76
36,0,171.237,4866.199,1925.301
37,0,183.026,4865.156,1923.335
38,0,270.085,4651.296,1906.28
39,0,306.711,4529.804,1897.576
40,0,350.149,4681.274,1937.872
41,0,357.418,4734.553,1991.395
42,0,232.412,1591.105,1677.283
43,0,167.304,1466.657,1633.449
44,0,138.441,1471.207,1559.435
45,0,155.815,1427.736,1503.228
46,0,72.737,1400.99,1256.437
47,0,58.431,1284.252,1176.228
48,0,17.447,1274.102,1448.808
49,0,16.203,1289.661,1223.23
50,0,16.21,1177.12,1198.637
51,0,37.883,1003.156,1185.176
52,0,36.421,1056.257,1185.321
53,0,37.877,1127.857,1232.795
54,0,360.9,6597.495,1680.478
55,0,349.42,4494.22,1894.866
56,0,284.924,8038.819,3338.535
57,0,242.334,8703.966,3448.628
58,0,176.842,9021.915,3594.782
59,0,188.886,9392.951,3643.654
60,0,199.589,8034.651,3364.686
61,0,193.721,9511.018,3577.04
62,0,276.556,9496.655,3608.697
63,0,318.686,8990.839,3617.877
64,0,374.222,9326.847,3680.965
65,0,357.323,6779.132,2651.63
66,0,226.881,1617.101,2003.319
67,0,156.578,1556.794,1947.116
68,0,133.176,1506.067,1830.332
69,0,119.932,1461.912,1765.846
70,0,51.002,1439.604,1540.756
71,0,43.818,1410.552,1469.185
72,0,17.343,1336.565,1586.862
73,0,16.124,1202.323,1275.732
74,0,16.137,1076.542,1241.842
75,0,37.816,994.37,1224.659
76,0,36.393,901.144,1204.627
77,0,37.928,820.248,1237.526
78,0,361.385,6626.389,1685.828
79,0,349.9,4167.697,1900.221
80,0,285.158,8072.17,3434.726
81,0,242.39,9585.721,3617.715
82,0,176.802,9693.257,3810.805
83,0,188.788,9863.665,3872.519
84,0,199.401,9012.389,3623.48
85,0,193.505,10497.88,3865.222
86,0,276.289,10445.171,3913.136
87,0,318.374,10390.597,3941.275
88,0,373.826,10378.744,4003.572
89,0,357.045,8067.294,2950.933
90,0,226.667,2191.815,2103.425
91,0,156.461,2003.865,2024.915
92,0,133.078,1894.869,1889.667
93,0,119.827,1838.767,1825.161
94,0,50.876,1740.139,1598.631
95,0,43.705,1626.935,1509.819
96,0,17.218,1575.237,1621.647
97,0,15.99,1401.885,1314.96
98,0,15.993,1313.718,1277.321
99,0,37.646,1255.354,1261.087
100,0,36.206,1184.522,1251.944
101,0,37.776,1126.731,1284.732
102,0,361.111,7198.39,1756.769
103,0,349.662,5099.511,2020.379
104,0,285.143,8172.036,3452.598
105,0,242.46,8736.015,3570.111
106,0,176.918,8951.527,3741.397
107,0,188.924,9570.327,3838.776
108,0,199.513,8746.193,3625.665
109,0,193.583,9912.806,3857.275
110,0,276.398,9617.076,3855.523
111,0,318.539,9227.832,3833.207
112,0,374.087,9444.501,3805.669
113,0,357.308,7359.167,2790.898
114,0,226.814,1803.408,2042.332
115,0,156.528,1695.942,1995.248
116,0,133.14,1614.412,1867.958
117,0,119.874,1518.352,1804.708
118,0,50.921,1438.086,1584.447
119,0,43.738,1347.177,1498.507
120,0,17.259,1286.139,1601.556
121,0,16.039,1179.006,1281.154
122,0,16.054,1084.819,1238.507
123,0,37.754,976.244,1225.517
124,0,36.309,881.912,1216.682
125,0,37.869,805.896,1257.992
126,0,361.383,6165.327,1720.565
127,0,349.901,4225.324,1955.973
128,0,285.249,7196.238,3439.188
129,0,242.505,7687.596,3601.925
130,0,176.93,7689.254,3780.822
