Name,hs,dhw,hs_and_dhw,cs,el
B1000,0.0,0.0,0.0,0.0,24.55
B1001,0.0,0.0,0.0,68.271,10.158999999999999
B1002,0.0,6.516,6.516,977.722,292.893
B1003,0.0,19.426,19.426,147.192,41.42
B1004,0.0,28.188000000000002,28.188000000000002,201.45,59.34
B1005,0.0,22.318,22.318,167.58900000000003,48.795
B1006,0.0,20.715,20.715,158.56799999999998,44.376999999999995
B1007,0.0,13.213,13.213,106.883,29.738000000000003
B1008,0.0,27.689,27.689,211.982,60.881
B1009,0.0,3.451,3.451,876.0,323.57599999999996
B1010,0.0,21.865,21.865,1073.882,365.213
B1011,0.0,0.0,0.0,0.0,235.132
B1012,0.0,13.075999999999999,13.075999999999999,96.677,27.945
B1013,0.0,12.749,12.749,96.545,27.41
B1014,0.0,10.057,10.057,78.347,21.749000000000002
B1015,0.0,10.236,10.236,78.027,21.916
B1016,0.0,11.204,11.204,85.34200000000001,24.730999999999998
B1017,0.0,9.867,9.867,79.92399999999999,22.276
B1018,0.0,11.197000000000001,11.197000000000001,85.971,24.496
B1019,0.0,10.597999999999999,10.597999999999999,82.34200000000001,23.256
B1020,0.0,9.709,9.709,75.756,21.011
B1021,0.0,8.922,8.922,64.02199999999999,18.348
B1022,0.0,93.95100000000001,93.95100000000001,815.9730000000001,218.63299999999998
B1023,0.0,0.0,0.0,975.034,396.675
B1024,0.0,0.0,0.0,638.003,234.11700000000002
B1025,0.0,0.0,0.0,814.691,296.004
B1026,0.0,0.0,0.0,740.547,178.641
B1027,0.0,6.223,6.223,436.741,66.307
B1028,0.0,21.941,21.941,2334.072,528.169
B1029,0.0,27.83,27.83,3029.9109999999996,683.6469999999999
