,hs,dhw,cs,el
0,0,23.984,1292.424,1147.579
1,0,20.88,1308.435,1095.08
2,0,20.88,1212.256,1088.521
3,0,39.523,1152.288,1084.188
4,0,38.151,1114.905,1080.27
5,0,43.648,1070.352,1076.964
6,0,351.618,6174.407,1670.828
7,0,317.572,4328.829,1871.735
8,0,243.698,5552.984,2260.304
9,0,238.639,6266.123,2405.141
10,0,173.058,6298.297,2565.236
11,0,183.035,6676.203,2649.478
12,0,177.743,6458.394,2317.058
13,0,174.434,6468.03,2305.256
14,0,264.866,6138.62,2265.707
15,0,300.065,6258.705,2246.269
16,0,343.141,6482.944,2263.596
17,0,332.122,6075.588,2171.547
18,0,214.436,1874.311,1730.013
19,0,150.976,1834.329,1621.295
20,0,127.05,1770.328,1535.802
21,0,133.26,1709.413,1476.438
22,0,55.903,1691.633,1333.123
23,0,50.973,1615.702,1217.411
24,0,35.145,1520.167,1173.794
25,0,32.737,1390.201,1110.211
26,0,32.702,1401.198,1109.703
27,0,44.34,1411.491,1107.81
28,0,42.942,1346.098,1102.16
29,0,54.097,1343.833,1099.386
30,0,352.459,7382.342,1491.013
31,0,312.751,4949.315,1714.831
32,0,229.802,4940.872,1812.047
33,0,190.273,4810.298,1896.631
34,0,160.73,5122.939,2012.026
35,0,169.073,5374.272,2038.263
36,0,164.071,5589.021,2001.582
37,0,175.374,5550.204,1999.729
38,0,258.597,5424.914,1995.644
39,0,293.63,5219.297,1979.612
40,0,335.201,5388.754,2022.204
41,0,342.163,5373.044,2063.829
42,0,222.532,1695.366,1694.154
43,0,160.289,1610.19,1648.401
44,0,132.646,1644.696,1576.034
45,0,149.276,1567.599,1518
46,0,70.025,1487.933,1263.618
47,0,56.302,1342.449,1186.345
48,0,17.082,1341.695,1457.559
49,0,15.898,1358.93,1230.593
50,0,15.898,1297.662,1207.357
51,0,36.912,1195.011,1200.021
52,0,35.494,1150.446,1193.819
53,0,36.786,1108.162,1233.469
54,0,345.872,6912.817,1696.284
55,0,334.711,4636.271,1923.346
56,0,272.921,8928.78,3422.381
57,0,232.072,10213.771,3581.479
58,0,169.37,10151.586,3785.189
59,0,180.871,10177.571,3838.116
60,0,191.098,9021.991,3556.513
61,0,185.478,10534.099,3788.604
62,0,264.64,10563.792,3835.318
63,0,304.899,10212.663,3855.688
64,0,357.972,10777.419,3899.063
65,0,341.841,8121.31,2880.476
66,0,217.072,2127.298,2087.8
67,0,149.916,1935.328,2008.538
68,0,127.538,1848.244,1887.271
69,0,114.932,1809.959,1819.382
70,0,49.239,1759.07,1590.25
71,0,42.379,1696.401,1515.262
72,0,16.859,1617.485,1632.097
73,0,15.69,1524.991,1321.059
74,0,15.691,1455.027,1286.8
75,0,36.702,1334.631,1263.707
