Building,Surface_Index,Area,Roof,WWR,useful_area
Geb_37,0,679.762551,,0.3,203.9287653
Geb_37,1,1109.22372,,0.3,332.767116
Geb_37,2,679.765585,,0.3,203.9296755
Geb_37,3,1109.22319,,0.3,332.766957
Geb_37,4,1184.27742,1,0.7,828.994194
Geb_Baufeld3_A,5,257.056664,,0.3,77.1169992
Geb_Baufeld3_A,6,150.143362,,0.3,45.0430086
Geb_Baufeld3_A,7,429.075896,,0.3,128.7227688
Geb_Baufeld3_A,8,109.256245,,0.3,32.7768735
Geb_Baufeld3_A,9,106.156337,,0.3,31.8469011
Geb_Baufeld3_A,10,530.52089,1,0.7,371.364623
Geb_Baufeld3_A,23,162.91619,,0.3,48.874857
Geb_Baufeld3_A,11,345.316782,,0.3,103.5950346
Geb_Baufeld3_A,13,441.327391,1,0.7,308.9291737
Geb_Baufeld3_A,15,190.851826,,0.3,57.2555478
Geb_Baufeld3_A,16,117.329371,,0.3,35.1988113
Geb_Baufeld3_A,17,208.790021,,0.3,62.6370063
Geb_Baufeld3_A,18,106.154545,,0.3,31.8463635
Geb_Baufeld3_A,19,109.25883,,0.3,32.777649
Geb_Baufeld3_A,12,530.522534,1,0.7,371.3657738
Geb_Baufeld3_A,20,429.074177,,0.3,128.7222531
Geb_Baufeld3_A,21,150.144678,,0.3,45.0434034
Geb_Baufeld3_A,22,162.917169,,0.3,48.8751507
Geb_Baufeld3_A,24,257.054881,,0.3,77.1164643
Geb_Baufeld3_A,25,109.258349,,0.3,32.7775047
Geb_Baufeld3_A,26,106.15453,,0.3,31.846359
Geb_Baufeld3_A,14,441.325694,1,0.7,308.9279858
Geb_Baufeld3_A,27,345.318373,,0.3,103.5955119
Geb_Baufeld3_A,28,190.850405,,0.3,57.2551215
Geb_Baufeld3_A,29,117.330222,,0.3,35.1990666
Geb_Baufeld3_A,30,208.787094,,0.3,62.6361282
Geb_Baufeld3_A,31,106.15805,,0.3,31.847415
Geb_Baufeld3_A,32,109.255443,,0.3,32.7766329
Geb_Baufeld3_B,33,191.403124,,0.3,57.4209372
Geb_Baufeld3_B,34,218.564978,,0.3,65.5694934
Geb_Baufeld3_B,35,297.164966,,0.3,89.1494898
Geb_Baufeld3_B,36,250.120938,,0.3,75.0362814
Geb_Baufeld3_B,37,412.141472,1,0.7,288.4990304
Geb_Baufeld3_B,62,110.049316,,0.3,33.0147948
Geb_Baufeld3_B,38,448.352306,1,0.7,313.8466142
Geb_Baufeld3_B,47,206.668657,,0.3,62.0005971
Geb_Baufeld3_B,49,220.832051,,0.3,66.2496153
Geb_Baufeld3_B,51,193.132369,,0.3,57.9397107
Geb_Baufeld3_B,52,153.073647,,0.3,45.9220941
Geb_Baufeld3_B,60,139.5348,,0.3,41.86044
Geb_Baufeld3_B,65,218.479704,,0.3,65.5439112
Geb_Baufeld3_B,39,485.445036,1,0.7,339.8115252
Geb_Baufeld3_B,42,219.851901,,0.3,65.9555703
Geb_Baufeld3_B,43,218.777236,,0.3,65.6331708
Geb_Baufeld3_B,44,353.061004,,0.3,105.9183012
Geb_Baufeld3_B,45,250.368065,,0.3,75.1104195
Geb_Baufeld3_B,63,132.955597,,0.3,39.8866791
Geb_Baufeld3_B,40,448.598276,1,0.7,314.0187932
Geb_Baufeld3_B,46,206.669981,,0.3,62.0009943
Geb_Baufeld3_B,48,220.834103,,0.3,66.2502309
Geb_Baufeld3_B,50,194.59544,,0.3,58.378632
Geb_Baufeld3_B,53,151.60608,,0.3,45.481824
Geb_Baufeld3_B,61,139.534729,,0.3,41.8604187
Geb_Baufeld3_B,64,218.477959,,0.3,65.5433877
Geb_Baufeld3_B,41,748.457023,1,0.7,523.9199161
Geb_Baufeld3_B,54,386.226573,,0.3,115.8679719
Geb_Baufeld3_B,55,194.666167,,0.3,58.3998501
Geb_Baufeld3_B,56,220.732202,,0.3,66.2196606
Geb_Baufeld3_B,57,446.191451,,0.3,133.8574353
Geb_Baufeld3_B,58,134.703082,,0.3,40.4109246
Geb_Baufeld3_B,59,218.477562,,0.3,65.5432686
Geb_Gebaut,66,1336.39417,,0.5,668.197085
