Name,hs,dhw,hs_and_dhw,cs,el
B2945,16.971,1.224,18.195,0.0,3.018
B1294,60.133,5.787,65.92,0.0,9.862
B1280,62.804,10.17,72.974,0.0,20.519
B3497,8.24,0.187,8.427,0.0,1.948
B2951,44.176,5.567,49.743,0.0,8.787
B2789,6.695,0.739,7.434,0.0,2.016
B2979,14.562,1.236,15.798,0.0,2.774
B3326,0.0,0.0,0.0,0.0,0.101
B2038,71.243,10.132,81.375,0.0,19.501
B1531,14.599,1.022,15.621,0.0,2.063
B1257,6.144,1.022,7.166,0.0,7.28
B3440,0.0,0.0,0.0,0.0,0.098
B2986,24.137,3.482,27.619,0.0,5.193
B3454,75.675,9.868,85.54299999999999,0.0,18.856
B2992,14.941,1.259,16.2,0.0,2.862
B1243,577.052,12.066,589.118,0.0,126.448
B1525,36.338,3.847,40.185,0.0,6.684
B3332,10.256,0.231,10.487,0.0,2.252
B2004,35.247,1.941,37.188,0.0,5.69
B2762,24.939,3.436,28.375,0.0,5.533
B2776,19.942,1.265,21.207,0.0,7.675
B2010,36.152,3.765,39.917,0.0,6.162
B1519,17.088,0.967,18.055,0.0,3.374
B1096,15.121,1.041,16.162,0.0,2.371
B3859,12.281,1.012,13.293000000000001,0.0,2.402
B3681,43.535,5.088,48.623,0.0,8.792
B1928,25.017,2.569,27.586,0.0,3.654
B3695,9.965,0.979,10.943999999999999,0.0,2.409
B1082,16.425,1.264,17.689,0.0,2.779
B3865,46.915,5.789,52.704,0.0,9.935
B1914,38.653,5.132,43.785,0.0,9.719
B1900,11.183,0.225,11.408,0.0,2.244
B3871,37.508,4.896,42.404,0.0,8.563
B3642,160.62,15.006,175.626,0.0,29.077
B1055,30.696,1.609,32.305,0.0,5.228
B1733,36.288,4.143,40.431,0.0,6.832
B3124,35.646,6.462,42.108000000000004,0.0,11.577
B3130,71.67,29.135,100.805,0.0,21.85
B1727,90.226,4.88,95.106,0.0,19.506
B1041,48.476,5.194,53.67,0.0,8.935
B4139,52.037,7.598,59.635,0.0,13.701
B3656,30.93,3.701,34.631,0.0,5.763
B2548,17.977,1.273,19.25,0.0,3.046
B1069,15.713,1.111,16.823999999999998,0.0,2.64
B4111,0.0,0.0,0.0,0.0,0.108
B2560,46.296,5.85,52.146,0.0,10.326
B2206,78.659,8.807,87.46600000000001,0.0,15.715
B3118,37.163,3.756,40.919,0.0,6.27
B2212,0.0,0.0,0.0,0.0,0.076
B4105,1405.745,29.878,1435.6229999999998,0.0,350.685
B2574,42.629,5.326,47.955,0.0,8.356
B3093,18.367,1.794,20.161,0.0,2.479
B1684,26.972,1.595,28.567,0.0,4.527
B1848,76.199,8.255,84.454,0.0,14.885
B1690,43.707,6.16,49.867000000000004,0.0,11.958
B2399,18.319,0.379,18.698,0.0,3.911
B3087,17.224,1.772,18.996,0.0,2.257
B3911,82.106,9.898,92.00399999999999,0.0,18.374
B1860,24.329,2.469,26.798000000000002,0.0,3.625
B1874,353.51,5.437,358.947,0.0,93.945
B3905,0.0,0.0,0.0,0.0,0.136
B2428,0.0,0.0,0.0,0.0,0.332
B3736,8.64,0.94,9.58,0.0,1.846
B4059,20.589,2.36,22.948999999999998,0.0,3.335
B1121,36.697,4.366,41.063,0.0,7.389
B1647,39.298,2.489,41.787,0.0,8.266
B3050,15.451,1.369,16.82,0.0,1.778
B3044,16.157,1.256,17.413,0.0,2.728
B1653,43.33,5.938,49.268,0.0,11.633
B1135,12.669,1.078,13.747,0.0,2.06
B3722,11.751,0.972,12.722999999999999,0.0,1.868
B2414,108.182,1.772,109.95400000000001,0.0,27.868
B4065,0.0,0.0,0.0,0.0,0.051
B2372,53.088,8.658,61.746,0.0,17.068
B3078,0.0,0.0,0.0,0.0,0.288
B2366,11.948,0.966,12.914,0.0,1.848
B2400,10.215,0.252,10.467,0.0,3.065
B4071,41.671,0.566,42.237,0.0,12.687
B1109,70.619,9.7,80.319,0.0,17.13
B1486,77.979,8.872,86.851,0.0,15.453
B3291,14.588,1.015,15.603,0.0,2.266
B2831,6.474,0.916,7.390000000000001,0.0,2.215
B2825,13.11,1.125,14.235,0.0,2.79
B3285,0.0,0.0,0.0,0.0,0.227
B1492,30.807,3.73,34.537,0.0,6.15
B2819,13.942,1.124,15.066,0.0,2.771
B3252,35.39,4.076,39.466,0.0,6.593
B1445,15.826,1.019,16.845,0.0,2.17
B1323,49.124,13.281,62.405,0.0,9.599
B3534,231.311,4.125,235.436,0.0,71.904
B1337,64.18,7.292,71.47200000000001,0.0,12.53
B1451,207.007,20.372,227.37900000000002,0.0,41.019
B2158,0.0,0.0,0.0,0.0,6.804
B3246,30.1,3.741,33.841,0.0,5.866
B1479,26.992,1.558,28.55,0.0,4.616
B2170,36.821,4.433,41.254,0.0,6.858
B3508,21.105,0.454,21.559,0.0,6.403
B2616,30.044,3.431,33.475,0.0,5.357
B2602,53.596,8.256,61.852,0.0,16.51
B2164,183.057,4.637,187.694,0.0,54.36
B2603,34.33,5.028,39.358,0.0,9.393
B2165,70.126,7.314,77.44,0.0,13.14
B2171,55.602,6.084,61.68599999999999,0.0,10.162
B1478,14.744,1.01,15.754,0.0,1.979
B2617,41.394,4.384,45.778,0.0,7.39
B3509,219.228,3.88,223.108,0.0,64.097
B1336,50.913,5.564,56.477,0.0,9.348
B3521,0.0,0.0,0.0,0.0,0.217
B3247,29.748,3.78,33.528,0.0,5.786
B2159,1387.208,24.193,1411.401,0.0,283.384
B1450,45.086,5.581,50.667,0.0,8.948
B1444,18.93,1.277,20.207,0.0,2.931
B3253,39.494,4.178,43.672,0.0,6.488
B3535,0.0,0.0,0.0,0.0,0.705
B1322,640.532,111.982,752.514,0.0,243.327
B2818,6.417,0.913,7.33,0.0,2.191
B2824,8.849,0.98,9.829,0.0,2.642
B1493,160.567,42.05,202.61700000000002,0.0,16.637
B3284,0.0,0.0,0.0,0.0,9.277
B3290,10.869,0.989,11.858,0.0,2.258
B1487,125.442,12.247,137.689,0.0,24.429
B2830,10.466,0.926,11.392,0.0,2.325
B2367,27.73,1.436,29.166,0.0,6.167
B3079,0.0,0.0,0.0,0.0,0.214
B1108,59.907,3.604,63.510999999999996,0.0,34.017
B4070,0.0,0.0,0.0,0.0,3.532
B2401,9.405,0.224,9.629,0.0,2.836
B4064,0.0,0.0,0.0,0.0,0.816
B2415,21.246,2.393,23.639,0.0,3.245
B2373,78.917,8.83,87.747,0.0,16.089
B1652,53.989,6.336,60.324999999999996,0.0,10.44
B3045,15.495,1.233,16.727999999999998,0.0,2.663
B3723,8.741,0.943,9.684,0.0,1.862
B1134,29.496,4.014,33.51,0.0,6.44
B1120,1571.784,28.273,1600.057,0.0,329.886
B4058,18.033,2.194,20.227,0.0,3.095
B3737,8.662,0.941,9.603000000000002,0.0,1.856
B2429,200.37,19.178,219.548,0.0,37.94
B3051,19.612,6.346,25.958,0.0,4.178
B1646,20.919,1.858,22.777,0.0,3.682
B1875,37.756,0.544,38.3,0.0,11.492
B3904,120.244,3.688,123.932,0.0,29.286
B3910,0.0,0.0,0.0,0.0,0.067
B1861,14.887,0.999,15.886000000000001,0.0,2.008
B3086,0.0,0.0,0.0,0.0,0.188
B2398,48.653,0.787,49.44,0.0,13.605
B1691,53.151,5.977,59.128,0.0,10.47
B1849,25.39,1.528,26.918,0.0,4.206
B1685,19.244,1.318,20.562,0.0,2.946
B3092,0.0,0.0,0.0,0.0,0.755
B2213,41.425,0.709,42.134,0.0,10.022
B2575,50.655,6.319,56.974000000000004,0.0,10.965
B4104,0.0,20.894,20.894,0.0,8.829
B2561,44.124,5.328,49.452000000000005,0.0,9.464
B4110,0.0,0.0,0.0,0.0,0.17
B1068,14.988,1.091,16.079,0.0,2.444
B3119,32.191,4.146,36.337,0.0,6.827
B2207,123.079,14.079,137.158,0.0,26.406
B1726,26.086,2.838,28.924,0.0,4.543
B3131,29.343,3.751,33.094,0.0,6.256
B2549,40.129,4.109,44.238,0.0,7.03
B3657,27.165,3.681,30.846,0.0,5.754
B4138,104.012,15.344,119.356,0.0,29.135
B1040,47.257,5.189,52.446,0.0,8.879
B1054,32.383,1.803,34.186,0.0,5.657
B3643,11.074,1.034,12.108,0.0,2.529
B3125,47.017,7.066,54.083000000000006,0.0,13.05
B1732,41.017,4.861,45.878,0.0,8.3
B1901,129.689,2.2,131.88899999999998,0.0,27.612
B3870,43.083,5.023,48.105999999999995,0.0,8.542
B3864,0.0,0.0,0.0,0.0,0.076
B1915,31.101,4.054,35.155,0.0,6.744
B1083,15.021,1.126,16.147000000000002,0.0,2.365
B3694,8.631,0.94,9.571,0.0,1.843
B3680,43.088,5.033,48.121,0.0,8.536
B3858,9.999,0.944,10.943000000000001,0.0,2.002
B1097,14.851,1.065,15.916,0.0,2.319
B1929,49.344,7.41,56.754000000000005,0.0,14.878
B3469,50.81,5.255,56.065000000000005,0.0,9.242
