,hs,dhw,cs,el
0,2050.6170000000025,2260.5750000000025,0.0,12075.634000000016
1,2583.3499999999967,2348.9339999999975,0.0,12070.69700000001
2,3075.047999999994,2071.8900000000017,0.0,12083.427999999998
3,3822.7149999999956,2520.6150000000007,0.0,12095.766000000003
4,4662.304999999997,2525.235000000003,0.0,12106.138
5,4861.425999999995,2552.4319999999952,0.0,15079.243000000017
6,57633.625999999975,4969.6270000000095,0.0,33087.78100000004
7,68820.40699999985,9723.572999999988,0.0,17452.323000000004
8,69472.22499999998,15347.048000000015,0.0,15316.08199999998
9,66291.98600000003,15957.01100000002,0.0,15816.664999999992
10,61541.71200000004,14763.413000000017,0.0,15959.956999999986
11,57110.30499999996,14827.597999999978,0.0,14337.121999999981
12,34831.65899999997,12011.833999999993,0.0,34892.45400000004
13,46001.68099999991,12565.395999999972,0.0,17021.955000000016
14,47327.69199999998,11467.073000000011,0.0,14587.020999999999
15,45927.36600000001,9900.014999999994,0.0,14553.967000000006
16,45204.57999999997,10735.532999999996,0.0,13811.76499999999
17,40230.08599999997,11771.894999999982,0.0,16124.431000000015
18,25470.724000000057,16475.927999999953,0.0,34242.56400000004
19,21159.354999999967,13690.375999999984,0.0,40351.22200000002
20,34572.64699999996,9164.225999999973,0.0,15155.522
21,376.29600000000005,8027.408999999987,0.0,14369.348999999987
22,449.13100000000003,7057.433000000006,0.0,14306.393999999978
23,261.9289999999999,3553.418000000002,0.0,10736.026000000025
24,294.05999999999995,2546.854999999996,0.0,10584.964000000022
25,368.4889999999999,2230.277,0.0,10570.157000000027
26,459.8539999999998,2083.7799999999993,0.0,10574.455000000027
27,611.2200000000006,2407.65,0.0,10580.545000000011
28,816.2459999999993,2414.7909999999974,0.0,10586.086000000012
29,893.2290000000006,2092.243999999999,0.0,13558.14699999998
30,40789.12900000004,3622.5790000000047,0.0,31625.847000000034
31,52220.340999999906,8301.575000000028,0.0,13983.030999999995
32,54124.711000000025,12758.354000000008,0.0,11322.775999999973
33,52479.642999999975,16554.639,0.0,11417.606999999978
34,50679.25999999994,17867.545000000042,0.0,11598.280999999977
35,49106.75800000012,17854.714,0.0,11566.456999999988
36,30650.808000000136,12876.802999999964,0.0,31891.58200000006
37,43144.37199999987,14057.062000000009,0.0,14332.188000000013
38,45835.60099999998,12491.285999999982,0.0,11594.406999999976
39,45427.0550000001,11467.507000000027,0.0,11561.814999999993
40,45154.99800000007,7610.761999999994,0.0,11188.612999999985
41,40762.748,10201.57699999998,0.0,13947.169000000004
42,26745.540999999983,13739.863999999967,0.0,31637.73600000002
43,23150.642000000003,14616.53699999998,0.0,37739.44200000007
44,37728.79699999996,9208.312999999987,0.0,13959.177999999993
45,314.856,7778.108000000009,0.0,13622.496999999996
46,455.90999999999985,7407.971000000009,0.0,13561.486999999986
47,590.8740000000006,3570.1409999999937,0.0,10595.426000000027
48,4748.755000000003,2499.152999999997,0.0,12094.59300000001
49,4852.161999999997,2232.748999999994,0.0,12083.149999999996
50,4956.621000000003,3256.549999999998,0.0,12090.509000000005
51,5261.148000000003,3263.4740000000083,0.0,12102.02500000001
52,5672.066999999993,2577.504000000004,0.0,12115.96300000001
53,8445.776999999993,6771.000999999991,0.0,17419.968000000015
54,59017.71099999996,16270.533000000001,0.0,38459.26899999998
55,150989.92499999976,16201.924000000032,0.0,28019.771000000015
56,142902.31599999993,16049.80500000001,0.0,38930.46100000006
57,133378.12299999996,15489.936999999984,0.0,44444.58500000002
58,117908.93099999995,14661.478999999963,0.0,52812.43300000003
59,101480.00000000015,12588.730999999976,0.0,42037.89600000006
60,76771.16500000008,11725.905000000012,0.0,51681.197999999975
61,81348.6579999998,14326.643999999998,0.0,41942.2989999999
62,74317.039,12683.635000000011,0.0,52709.620000000155
63,70628.23799999997,11428.282000000014,0.0,44629.64300000007
64,68824.12800000006,10527.815000000011,0.0,37562.921000000024
65,68293.9829999999,11864.008999999993,0.0,26655.61600000001
66,25193.360999999983,15653.251999999986,0.0,38527.59099999998
67,21745.078999999994,15789.204000000003,0.0,44344.020000000084
68,35398.386999999995,13082.425999999992,0.0,19075.286000000055
69,1337.4479999999994,9506.659000000016,0.0,18292.109999999975
70,990.5789999999994,6486.516000000002,0.0,15988.983999999984
71,658.5089999999999,3861.430999999999,0.0,12270.796000000028
72,832.229,2448.572000000004,0.0,12048.33000000002
73,1062.5439999999999,2219.739999999996,0.0,12037.837
74,1366.3279999999993,3235.2389999999996,0.0,12044.345000000003
75,1796.056,3244.8760000000098,0.0,12062.801000000012
76,2256.702000000003,2565.591000000006,0.0,12071.986000000012
77,4293.802000000005,6762.541999999987,0.0,17389.86200000002
78,52250.837000000014,16260.210000000008,0.0,38439.75099999997
79,106968.31200000005,16014.858999999979,0.0,28018.44900000002
80,103871.55500000007,16048.080000000004,0.0,38929.138000000064
81,94171.18799999998,15480.130999999987,0.0,44438.13200000002
82,88237.30000000003,14669.147999999972,0.0,52795.08800000003
83,78670.3399999998,12610.349000000007,0.0,42027.030000000064
84,59781.12199999984,11766.137999999995,0.0,51734.32499999996
85,74309.838,14376.993999999993,0.0,41993.8709999999
86,75714.99099999973,12733.327999999972,0.0,52793.54900000016
87,72078.40599999986,11474.573000000022,0.0,44725.51900000007
88,71148.92699999988,10573.352,0.0,37661.23800000003
89,69629.56000000006,11916.416000000003,0.0,26736.00300000001
90,36825.55500000003,15718.066999999995,0.0,38662.13900000002
91,33237.58799999991,15851.914000000006,0.0,44457.51000000005
92,49554.04100000011,13134.231999999975,0.0,19173.255000000067
93,4567.839999999992,9555.786,0.0,18393.031999999977
94,2559.81,6522.924999999993,0.0,16054.93599999999
95,2009.7610000000013,3892.9289999999946,0.0,12313.515000000032
96,2770.0330000000013,2476.883000000004,0.0,12103.758000000014
97,3619.6430000000014,2251.848000000003,0.0,12102.599000000002
98,4812.024000000002,3296.9799999999973,0.0,12129.215000000004
99,6292.738000000003,3302.138000000001,0.0,12147.634999999998
100,7711.391000000007,2602.3170000000023,0.0,12160.001000000002
101,12572.545000000015,6793.21399999999,0.0,17478.427000000007
102,71319.775,16313.449000000015,0.0,38460.929999999964
103,121590.68999999987,16065.258000000036,0.0,28018.44900000002
104,119426.74300000003,16089.30800000001,0.0,38930.21900000006
105,117947.97600000023,15532.183999999996,0.0,44443.262000000024
106,111438.04599999984,14711.23700000002,0.0,52811.31600000003
107,96501.17099999974,12641.265999999987,0.0,42071.70000000007
108,75254.53900000015,11797.386999999986,0.0,51742.11199999997
109,92110.05199999988,14407.602000000004,0.0,41995.04799999989
110,94450.83500000018,12758.710000000001,0.0,52793.631000000154
