Building,type,Area,Roof,WWR,useful_area,SurfaceIndex
B2779,north,149.41,0,0.21,118.03,0
B2779,east,12.0,0,0.21,9.48,1
B2779,south,149.52,0,0.21,118.12,2
B2779,west,12.01,0,0.21,9.49,3
B2779,roofs,39.88,1,0.3,11.964,4
B2629,north,0.0,0,0,0,5
B2629,east,254.23000000000002,0,0.21,200.84,6
B2629,south,218.18,0,0.21,172.36,7
B2629,west,254.23000000000002,0,0.21,200.84,8
B2629,roofs,171.2,1,0.3,51.35999999999999,9
B4204,north,223.57999999999998,0,0.21,176.63,10
B4204,east,0.0,0,0,0,11
B4204,south,223.57999999999998,0,0.21,176.63,12
B4204,west,0.0,0,0,0,13
B4204,roofs,126.26,1,0.3,37.878,14
B2598,north,350.0,0,0.21,276.5,15
B2598,east,219.46,0,0.21,173.37,16
B2598,south,381.77000000000004,0,0.21,301.6,17
B2598,west,121.52,0,0.21,96.0,18
B2598,roofs,225.84,1,0.3,67.752,19
B2694,north,260.62,0,0.21,205.89,20
B2694,east,246.23000000000002,0,0.21,194.52,21
B2694,south,253.71,0,0.21,200.43,22
B2694,west,244.18,0,0.21,192.9,23
B2694,roofs,194.45,1,0.3,58.334999999999994,24
B4058,north,209.92000000000002,0,0.21,165.84,25
B4058,east,30.38,0,0.21,24.0,26
B4058,south,83.92,0,0.21,66.3,27
B4058,west,30.51,0,0.21,24.1,28
B4058,roofs,70.99,1,0.3,21.296999999999997,29
B2100,north,504.09000000000003,0,0.21,398.23,30
B2100,east,129.29,0,0.21,102.14,31
B2100,south,500.33,0,0.21,395.26,32
B2100,west,133.57,0,0.21,105.52,33
B2100,roofs,448.33,1,0.3,134.499,34
B2050,north,365.51,0,0.21,288.75,35
B2050,east,572.94,0,0.21,452.62,36
B2050,south,237.82,0,0.21,187.88,37
B2050,west,572.51,0,0.21,452.28,38
B2050,roofs,328.54,1,0.3,98.562,39
B2475,north,401.54,0,0.15,341.31,40
B2475,east,406.09000000000003,0,0.15,345.18,41
B2475,south,401.55,0,0.15,341.32,42
B2475,west,406.33,0,0.15,345.38,43
B2475,roofs,503.43,1,0.3,151.029,44
B2525,north,76.7,0,0.21,60.59,45
B2525,east,0.0,0,0,0,46
B2525,south,0.0,0,0,0,47
B2525,west,37.63,0,0.21,29.73,48
B2525,roofs,320.73,1,0.3,96.21900000000001,49
B1182,north,218.34,0,0.21,172.49,50
B1182,east,140.6,0,0.21,111.07,51
B1182,south,218.27,0,0.21,172.43,52
B1182,west,140.56,0,0.21,111.04,53
B1182,roofs,213.12,1,0.3,63.936,54
B3296,north,0.0,0,0,0,55
B3296,east,66.28999999999999,0,0.21,52.37,56
B3296,south,0.0,0,0,0,57
B3296,west,66.35,0,0.21,52.42,58
B3296,roofs,51.29,1,0.3,15.386999999999999,59
B3077,north,0.0,0,0,0,60
B3077,east,27.24,0,0.21,21.52,61
B3077,south,0.0,0,0,0,62
B3077,west,26.990000000000002,0,0.21,21.32,63
B3077,roofs,72.6,1,0.3,21.779999999999998,64
B1233,north,880.64,0,0.15,748.54,65
B1233,east,256.8,0,0.15,218.28,66
B1233,south,849.4,0,0.15,721.99,67
B1233,west,252.19,0,0.15,214.36,68
B1233,roofs,499.82,1,0.3,149.946,69
B1898,north,941.3800000000001,0,0.21,743.69,70
B1898,east,410.44,0,0.21,324.25,71
B1898,south,757.87,0,0.21,598.72,72
B1898,west,415.65000000000003,0,0.21,328.36,73
B1898,roofs,829.56,1,0.3,248.86799999999997,74
B3127,north,270.98,0,0.21,214.07,75
B3127,east,462.05999999999995,0,0.21,365.03,76
B3127,south,0.0,0,0,0,77
B3127,west,224.39000000000001,0,0.21,177.27,78
B3127,roofs,668.45,1,0.3,200.535,79
B1363,north,39.02,0,0.15,33.17,80
B1363,east,77.92999999999999,0,0.15,66.24,81
B1363,south,39.02,0,0.15,33.17,82
B1363,west,77.92999999999999,0,0.15,66.24,83
B1363,roofs,337.91,1,0.3,101.373,84
B1746,north,97.03,0,0.21,76.65,85
B1746,east,121.02,0,0.21,95.61,86
B1746,south,125.82000000000001,0,0.21,99.4,87
B1746,west,94.50999999999999,0,0.21,74.66,88
B1746,roofs,85.8,1,0.3,25.74,89
B3502,north,12.290000000000001,0,0.21,9.71,90
B3502,east,13.719999999999999,0,0.21,10.84,91
