Name,hs,dhw,hs_and_dhw,cs,el
B2945,35.854,1.181,37.035,0.0,3.049
B1294,318.966,5.597,324.563,0.0,10.335
B1280,57.583,9.784,67.367,0.0,20.499
B3497,7.104,0.185,7.289,0.0,1.946
B2951,70.574,5.393,75.967,0.0,8.836
B2789,6.241,0.731,6.9719999999999995,0.0,2.014
B2979,31.08,1.201,32.281,0.0,2.801
B3326,0.0,0.0,0.0,0.0,0.101
B2038,65.801,9.755,75.556,0.0,19.492
B1531,33.828,0.98,34.808,0.0,2.094
B1257,2.661,1.0,3.661,0.0,7.269
B3440,0.0,0.0,0.0,0.0,0.098
B2986,27.278,3.378,30.656,0.0,5.198
B3454,70.539,9.506,80.045,0.0,18.846
B2992,34.364,1.223,35.586999999999996,0.0,2.894
B1243,537.02,11.645,548.665,0.0,126.366
B1525,73.291,3.717,77.008,0.0,6.746
B3332,8.872,0.225,9.097,0.0,2.25
B2004,186.917,1.902,188.819,0.0,5.95
B2762,27.71,3.329,31.039,0.0,5.538
B2776,18.115,1.238,19.352999999999998,0.0,7.673
B2010,92.685,3.621,96.306,0.0,6.258
B1519,15.961,0.951,16.912,0.0,3.37
B1096,48.01,0.998,49.007999999999996,0.0,2.425
B3859,56.449,0.996,57.445,0.0,2.474
B3681,80.802,4.912,85.71400000000001,0.0,8.858
B1928,74.807,2.459,77.266,0.0,3.738
B3695,12.092,0.97,13.062000000000001,0.0,2.412
B1082,45.837,1.21,47.047000000000004,0.0,2.827
B3865,92.34,5.591,97.931,0.0,10.014
B1914,35.94,4.947,40.887,0.0,9.714
B1900,9.712,0.219,9.931,0.0,2.242
B3871,42.462,4.728,47.190000000000005,0.0,8.572
B3642,275.898,14.449,290.34700000000004,0.0,29.301
B1055,88.317,1.553,89.86999999999999,0.0,5.323
B1733,71.742,4.006,75.748,0.0,6.892
B3124,32.534,6.239,38.772999999999996,0.0,11.571
B3130,67.228,27.981,95.209,0.0,21.841
B1727,152.191,4.742,156.933,0.0,19.621
B1041,145.59,5.007,150.597,0.0,9.102
B4139,49.181,7.332,56.513,0.0,13.696
B3656,76.73,3.567,80.297,0.0,5.842
B2548,55.092,1.226,56.318,0.0,3.106
B1069,44.16,1.066,45.226,0.0,2.687
B4111,0.0,0.0,0.0,0.0,0.108
B2560,44.11,5.647,49.757,0.0,10.322
B2206,92.444,8.498,100.94200000000001,0.0,15.74
B3118,144.976,3.631,148.607,0.0,6.456
B2212,0.0,0.0,0.0,0.0,0.076
B4105,1225.708,28.752,1254.46,0.0,350.267
B2574,72.63,5.16,77.78999999999999,0.0,8.412
B3093,51.17,1.717,52.887,0.0,2.533
B1684,87.175,1.53,88.705,0.0,4.627
B1848,123.367,7.962,131.329,0.0,14.969
B1690,40.523,5.935,46.458000000000006,0.0,11.946
B2399,15.839,0.37,16.209,0.0,3.907
B3087,36.199,1.696,37.894999999999996,0.0,2.288
